z_code,mi,hvi
78701,99519.20833333333,370500.0
78702,44893.25,357533.3333333333
78703,90645.45833333333,723183.3333333334
78704,60595.416666666664,470708.3333333333
78705,12907.166666666666,242041.66666666666
78723,42448.70833333333,310341.6666666667
78726,84195.91666666667,419633.3333333333
78727,72726.58333333333,268716.6666666667
78728,54652.375,236408.33333333334
78729,67925.04166666667,259283.33333333334
78731,83187.75,534508.3333333334
78734,96882.33333333333,365025.0
78741,33440.708333333336,197958.33333333334
78744,43215.125,157383.33333333334
78745,56130.375,256025.0
78748,71639.79166666667,256216.66666666666
78749,88471.5,320758.3333333333
78751,48889.875,395775.0
78753,40978.875,193175.0
78757,62306.791666666664,381566.6666666667
78758,45747.541666666664,216641.66666666666
78759,73126.83333333333,402058.3333333333
